#color	category	term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
red	GO Process	GO:0008366	Axon ensheathment	17	124	1.5	3.42	5.48e-16	10116.ENSRNOP00000001797,10116.ENSRNOP00000003283,10116.ENSRNOP00000012676,10116.ENSRNOP00000014359,10116.ENSRNOP00000015283,10116.ENSRNOP00000020870,10116.ENSRNOP00000022277,10116.ENSRNOP00000025279,10116.ENSRNOP00000025625,10116.ENSRNOP00000028544,10116.ENSRNOP00000033076,10116.ENSRNOP00000035676,10116.ENSRNOP00000043652,10116.ENSRNOP00000051771,10116.ENSRNOP00000051984,10116.ENSRNOP00000057594,10116.ENSRNOP00000070157	Gjc3,Plp1,Ugt8,Cldn11,Sox10,Mal,Pllp,Mobp,Fa2h,Mag,Tspan2,Myrf,Lpar1,Nkx6-2,Bcas1,Nfasc,Mbp
blue	GO Process	GO:0042552	Myelination	16	122	1.48	3.22	4.77e-15	10116.ENSRNOP00000001797,10116.ENSRNOP00000003283,10116.ENSRNOP00000012676,10116.ENSRNOP00000015283,10116.ENSRNOP00000020870,10116.ENSRNOP00000022277,10116.ENSRNOP00000025279,10116.ENSRNOP00000025625,10116.ENSRNOP00000028544,10116.ENSRNOP00000033076,10116.ENSRNOP00000035676,10116.ENSRNOP00000043652,10116.ENSRNOP00000051771,10116.ENSRNOP00000051984,10116.ENSRNOP00000057594,10116.ENSRNOP00000070157	Gjc3,Plp1,Ugt8,Sox10,Mal,Pllp,Mobp,Fa2h,Mag,Tspan2,Myrf,Lpar1,Nkx6-2,Bcas1,Nfasc,Mbp
limegreen	GO Process	GO:0022010	Central nervous system myelination	8	28	1.82	2.26	7.06e-09	10116.ENSRNOP00000003283,10116.ENSRNOP00000015283,10116.ENSRNOP00000020870,10116.ENSRNOP00000025279,10116.ENSRNOP00000025625,10116.ENSRNOP00000028544,10116.ENSRNOP00000035676,10116.ENSRNOP00000051771	Plp1,Sox10,Mal,Mobp,Fa2h,Mag,Myrf,Nkx6-2
yellow	GO Process	GO:0014003	Oligodendrocyte development	9	58	1.55	2.01	2.17e-08	10116.ENSRNOP00000003283,10116.ENSRNOP00000015283,10116.ENSRNOP00000020870,10116.ENSRNOP00000025279,10116.ENSRNOP00000025625,10116.ENSRNOP00000028544,10116.ENSRNOP00000035676,10116.ENSRNOP00000043652,10116.ENSRNOP00000051771	Plp1,Sox10,Mal,Mobp,Fa2h,Mag,Myrf,Lpar1,Nkx6-2
