#color	category	term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
yellow	InterPro	IPR003961	Fibronectin type III	9	203	0.95	0.55	0.0077	9606.ENSP00000200181,9606.ENSP00000256509,9606.ENSP00000273395,9606.ENSP00000337451,9606.ENSP00000359077,9606.ENSP00000380602,9606.ENSP00000411242,9606.ENSP00000417335,9606.ENSP00000441831	ITGB4,CHL1,BOC,EPHA3,L1CAM,CNTN4,FNDC3B,ROBO2,FNDC3A
red	GO Process	GO:0007155	Cell adhesion	23	965	0.68	0.97	7.13e-07	9606.ENSP00000200181,9606.ENSP00000211998,9606.ENSP00000230538,9606.ENSP00000256509,9606.ENSP00000258341,9606.ENSP00000262150,9606.ENSP00000273395,9606.ENSP00000276297,9606.ENSP00000282588,9606.ENSP00000284981,9606.ENSP00000337451,9606.ENSP00000359077,9606.ENSP00000359225,9606.ENSP00000360293,9606.ENSP00000360882,9606.ENSP00000371958,9606.ENSP00000380602,9606.ENSP00000381185,9606.ENSP00000385142,9606.ENSP00000417335,9606.ENSP00000426632,9606.ENSP00000441831,9606.ENSP00000489551	ITGB4,VCL,LAMA4,CHL1,LAMC1,CDH19,BOC,DLC1,ITGA1,APP,EPHA3,L1CAM,CNN3,SORBS1,COL5A1,CD9,CNTN4,BCL2,NRXN1,ROBO2,ERBIN,FNDC3A,NRXN3
limegreen	GO Process	GO:0000904	Cell morphogenesis involved in differentiation	16	554	0.76	0.91	1.57e-05	9606.ENSP00000211998,9606.ENSP00000256509,9606.ENSP00000258341,9606.ENSP00000273395,9606.ENSP00000284981,9606.ENSP00000337451,9606.ENSP00000348828,9606.ENSP00000359077,9606.ENSP00000363500,9606.ENSP00000380602,9606.ENSP00000381185,9606.ENSP00000385142,9606.ENSP00000394720,9606.ENSP00000401907,9606.ENSP00000417335,9606.ENSP00000489551	VCL,CHL1,LAMC1,BOC,APP,EPHA3,ARHGEF26,L1CAM,CLIC4,CNTN4,BCL2,NRXN1,SEMA4B,BMPR1B,ROBO2,NRXN3
blue	GO Process	GO:0042552	Myelination	7	114	1.09	0.78	0.00087	9606.ENSP00000200181,9606.ENSP00000308937,9606.ENSP00000312273,9606.ENSP00000315130,9606.ENSP00000349588,9606.ENSP00000363553,9606.ENSP00000371958	ITGB4,PMP22,LGI4,CLU,ANK2,LPAR1,CD9
